market_id,series,source,action,gt_prob,entry_price,confidence,entry_ts,result,settlement_ts,correct
KXNCAAWBGAME-26MAR23UKWVU-WVU,KXNCAAWBGAME,ResolutionDetector/ConfirmedFinal,buy_no,0.0,0.255,0.99,2026-03-23T23:22:15.631881+00:00,no,2026-03-23T23:42:50.958748Z,True
KXNCAAWBGAME-26MAR23USCSCAR-USC,KXNCAAWBGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-24T02:10:51.529952+00:00,no,2026-03-24T02:14:40.842401Z,False
KXNBAGAME-26MAR23TORUTA-UTA,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_no,0.0,0.255,0.99,2026-03-24T03:50:53.081231+00:00,no,2026-03-24T03:52:20.879007Z,True
KXNBAGAME-26MAR25ATLDET-DET,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_no,0.0,0.255,0.99,2026-03-26T01:55:18.866687+00:00,no,2026-03-26T02:09:47.837417Z,True
KXNBAGAME-26MAR25OKCBOS-OKC,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-26T02:05:08.992224+00:00,no,2026-03-26T02:15:41.753339Z,False
KXNBAGAME-26MAR26NOPDET-NOP,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-27T01:25:15.617002+00:00,no,2026-03-27T01:35:38.247809Z,False
KXNBAGAME-26MAR26NYKCHA-NYK,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-27T01:32:23.472311+00:00,no,2026-03-27T01:42:18.177606Z,False
KXNCAAMBGAME-26MAR26IOWANEB-NEB,KXNCAAMBGAME,ResolutionDetector/ConfirmedFinal,buy_no,0.0,0.255,0.99,2026-03-27T01:32:23.984732+00:00,no,2026-03-27T01:32:58.338744Z,True
KXNBAGAME-26MAR26SACORL-SAC,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-27T01:33:35.888047+00:00,no,2026-03-27T01:37:38.189812Z,False
KXNCAAMBGAME-26MAR26TEXPUR-TEX,KXNCAAMBGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-27T01:37:35.091836+00:00,no,2026-03-27T01:38:58.604419Z,False
KXNCAAMBGAME-26MAR26ILLHOU-ILL,KXNCAAMBGAME,ResolutionDetector/ConfirmedFinal,buy_no,0.0,0.75,0.99,2026-03-27T04:21:55.250015+00:00,yes,2026-03-27T04:23:48.332291Z,False
KXNCAAMBGAME-26MAR26ARKARIZ-ARK,KXNCAAMBGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-27T04:29:39.531585+00:00,no,2026-03-27T04:31:28.346728Z,False
KXNBAGAME-26MAR27WASGSW-WAS,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-28T04:31:16.747546+00:00,no,2026-03-28T04:47:38.038045Z,False
KXNBAGAME-26MAR27DALPOR-POR,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_no,0.0,0.255,0.99,2026-03-28T04:31:17.202911+00:00,no,2026-03-28T04:37:37.972823Z,True
KXNCAAWBGAME-26MAR28UKTEX-UK,KXNCAAWBGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-28T21:13:01.190804+00:00,no,2026-03-28T21:14:48.001279Z,False
KXNCAAMBGAME-26MAR28IOWAILL-IOWA,KXNCAAMBGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-03-29T00:37:16.470267+00:00,no,2026-03-29T00:35:14.413481Z,False
KXNCAAMBGAME-26MAR29TENNMICH-TENN,KXNCAAMBGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.75,0.99,2026-03-29T20:46:20.922835+00:00,no,2026-03-29T20:47:18.36829Z,False
KXNBAGAME-26APR14MIACHA-MIA,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_yes,1.0,0.255,0.99,2026-04-15T02:28:54.435683+00:00,no,2026-04-15T02:24:00.505308Z,False
KXNBAGAME-26APR21PORSAS-SAS,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_no,0.0,0.255,0.99,2026-04-22T02:46:10.739966+00:00,no,2026-04-22T02:43:23.272913Z,True
KXNBAGAME-26APR22ORLDET-ORL,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_no,0.0,0.255,0.99,2026-04-23T01:53:26.155774+00:00,no,2026-04-23T01:52:13.904359Z,True
KXNBAGAME-26APR23NYKATL-NYK,KXNBAGAME,ResolutionDetector/ConfirmedFinal,buy_no,0.0,0.255,0.99,2026-04-24T01:50:14.948502+00:00,no,2026-04-24T01:47:24.635266Z,True
