station,date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,delta_F,abs_delta,trigger_pick,actual_winner,bracket_match,trigger_pick_subtitle,actual_winner_subtitle,settled_bracket_subtitle,trigger_utc,settled_utc,pick_idx,winner_idx,bracket_distance
KNYC,2026-01-15,high,13,True,14:51,35.0,47.0,00:51,47.0,00:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-15T19:51:00+00:00,2026-01-15T05:51:00+00:00,,,
KNYC,2026-01-16,high,13,True,18:51,30.0,32.0,14:51,34.0,22:51,2.0,2.0,no_kalshi_event,,,,,,2026-01-16T23:51:00+00:00,2026-01-17T03:51:00+00:00,,,
KNYC,2026-01-17,high,13,True,14:51,33.0,39.0,08:51,39.0,08:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-17T19:51:00+00:00,2026-01-17T13:51:00+00:00,,,
KNYC,2026-01-18,high,13,False,,,35.0,05:51,35.0,05:51,,,,,,,,,,2026-01-18T10:51:00+00:00,,,
KNYC,2026-01-19,high,13,True,21:51,29.0,31.0,12:51,31.0,12:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-20T02:51:00+00:00,2026-01-19T17:51:00+00:00,,,
KNYC,2026-01-20,high,13,False,,,24.0,00:51,24.0,00:51,,,,,,,,,,2026-01-20T05:51:00+00:00,,,
KNYC,2026-01-21,high,13,False,,,39.0,23:51,39.0,23:51,,,,,,,,,,2026-01-22T04:51:00+00:00,,,
KNYC,2026-01-22,high,13,True,18:51,44.0,47.0,13:51,47.0,13:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-22T23:51:00+00:00,2026-01-22T18:51:00+00:00,,,
KNYC,2026-01-23,high,13,False,,,37.0,00:51,37.0,00:51,,,,,,,,,,2026-01-23T05:51:00+00:00,,,
KNYC,2026-01-24,high,13,True,20:51,15.0,17.0,13:51,17.0,13:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-25T01:51:00+00:00,2026-01-24T18:51:00+00:00,,,
KNYC,2026-01-25,high,13,False,,,22.0,22:51,22.0,22:51,,,,,,,,,,2026-01-26T03:51:00+00:00,,,
