series,station,kind,event_date,event_ticker,market_ticker,subtitle,low,high,result
KXHIGHDEN,KDEN,high,2026-02-12,KXHIGHDEN-26FEB12,KXHIGHDEN-26FEB12-T62,63° or above,63,,no
KXHIGHDEN,KDEN,high,2026-02-12,KXHIGHDEN-26FEB12,KXHIGHDEN-26FEB12-T55,54° or below,,54,no
KXHIGHDEN,KDEN,high,2026-02-12,KXHIGHDEN-26FEB12,KXHIGHDEN-26FEB12-B61.5,61° to 62°,61,62,no
KXHIGHDEN,KDEN,high,2026-02-12,KXHIGHDEN-26FEB12,KXHIGHDEN-26FEB12-B59.5,59° to 60°,59,60,yes
KXHIGHDEN,KDEN,high,2026-02-12,KXHIGHDEN-26FEB12,KXHIGHDEN-26FEB12-B57.5,57° to 58°,57,58,no
KXHIGHDEN,KDEN,high,2026-02-12,KXHIGHDEN-26FEB12,KXHIGHDEN-26FEB12-B55.5,55° to 56°,55,56,no
KXHIGHNY,KNYC,high,2026-02-12,KXHIGHNY-26FEB12,KXHIGHNY-26FEB12-T39,40° or above,40,,no
KXHIGHNY,KNYC,high,2026-02-12,KXHIGHNY-26FEB12,KXHIGHNY-26FEB12-T32,31° or below,,31,no
KXHIGHNY,KNYC,high,2026-02-12,KXHIGHNY-26FEB12,KXHIGHNY-26FEB12-B38.5,38° to 39°,38,39,no
KXHIGHNY,KNYC,high,2026-02-12,KXHIGHNY-26FEB12,KXHIGHNY-26FEB12-B36.5,36° to 37°,36,37,yes
KXHIGHNY,KNYC,high,2026-02-12,KXHIGHNY-26FEB12,KXHIGHNY-26FEB12-B34.5,34° to 35°,34,35,no
KXHIGHNY,KNYC,high,2026-02-12,KXHIGHNY-26FEB12,KXHIGHNY-26FEB12-B32.5,32° to 33°,32,33,no
KXHIGHMIA,KMIA,high,2026-02-12,KXHIGHMIA-26FEB12,KXHIGHMIA-26FEB12-T80,81° or above,81,,yes
KXHIGHMIA,KMIA,high,2026-02-12,KXHIGHMIA-26FEB12,KXHIGHMIA-26FEB12-T73,72° or below,,72,no
KXHIGHMIA,KMIA,high,2026-02-12,KXHIGHMIA-26FEB12,KXHIGHMIA-26FEB12-B79.5,79° to 80°,79,80,no
KXHIGHMIA,KMIA,high,2026-02-12,KXHIGHMIA-26FEB12,KXHIGHMIA-26FEB12-B77.5,77° to 78°,77,78,no
KXHIGHMIA,KMIA,high,2026-02-12,KXHIGHMIA-26FEB12,KXHIGHMIA-26FEB12-B75.5,75° to 76°,75,76,no
KXHIGHMIA,KMIA,high,2026-02-12,KXHIGHMIA-26FEB12,KXHIGHMIA-26FEB12-B73.5,73° to 74°,73,74,no
KXHIGHCHI,KORD,high,2026-02-12,KXHIGHCHI-26FEB12,KXHIGHCHI-26FEB12-T45,46° or above,46,,no
KXHIGHCHI,KORD,high,2026-02-12,KXHIGHCHI-26FEB12,KXHIGHCHI-26FEB12-T38,37° or below,,37,no
KXHIGHCHI,KORD,high,2026-02-12,KXHIGHCHI-26FEB12,KXHIGHCHI-26FEB12-B44.5,44° to 45°,44,45,no
KXHIGHCHI,KORD,high,2026-02-12,KXHIGHCHI-26FEB12,KXHIGHCHI-26FEB12-B42.5,42° to 43°,42,43,no
KXHIGHCHI,KORD,high,2026-02-12,KXHIGHCHI-26FEB12,KXHIGHCHI-26FEB12-B40.5,40° to 41°,40,41,no
KXHIGHCHI,KORD,high,2026-02-12,KXHIGHCHI-26FEB12,KXHIGHCHI-26FEB12-B38.5,38° to 39°,38,39,yes
KXLOWTMIA,KMIA,low,2026-02-12,KXLOWTMIA-26FEB12,KXLOWTMIA-26FEB12-T61,62° or above,62,,no
KXLOWTMIA,KMIA,low,2026-02-12,KXLOWTMIA-26FEB12,KXLOWTMIA-26FEB12-T54,53° or below,,53,no
KXLOWTMIA,KMIA,low,2026-02-12,KXLOWTMIA-26FEB12,KXLOWTMIA-26FEB12-B60.5,60° to 61°,60,61,no
KXLOWTMIA,KMIA,low,2026-02-12,KXLOWTMIA-26FEB12,KXLOWTMIA-26FEB12-B58.5,58° to 59°,58,59,yes
KXLOWTMIA,KMIA,low,2026-02-12,KXLOWTMIA-26FEB12,KXLOWTMIA-26FEB12-B56.5,56° to 57°,56,57,no
KXLOWTMIA,KMIA,low,2026-02-12,KXLOWTMIA-26FEB12,KXLOWTMIA-26FEB12-B54.5,54° to 55°,54,55,no
KXLOWTDEN,KDEN,low,2026-02-12,KXLOWTDEN-26FEB12,KXLOWTDEN-26FEB12-T36,37° or above,37,,no
KXLOWTDEN,KDEN,low,2026-02-12,KXLOWTDEN-26FEB12,KXLOWTDEN-26FEB12-T29,28° or below,,28,no
KXLOWTDEN,KDEN,low,2026-02-12,KXLOWTDEN-26FEB12,KXLOWTDEN-26FEB12-B35.5,35° to 36°,35,36,no
KXLOWTDEN,KDEN,low,2026-02-12,KXLOWTDEN-26FEB12,KXLOWTDEN-26FEB12-B33.5,33° to 34°,33,34,no
KXLOWTDEN,KDEN,low,2026-02-12,KXLOWTDEN-26FEB12,KXLOWTDEN-26FEB12-B31.5,31° to 32°,31,32,no
KXLOWTDEN,KDEN,low,2026-02-12,KXLOWTDEN-26FEB12,KXLOWTDEN-26FEB12-B29.5,29° to 30°,29,30,yes
KXLOWTNYC,KNYC,low,2026-02-12,KXLOWTNYC-26FEB12,KXLOWTNYC-26FEB12-T28,29° or above,29,,no
KXLOWTNYC,KNYC,low,2026-02-12,KXLOWTNYC-26FEB12,KXLOWTNYC-26FEB12-T21,20° or below,,20,no
KXLOWTNYC,KNYC,low,2026-02-12,KXLOWTNYC-26FEB12,KXLOWTNYC-26FEB12-B27.5,27° to 28°,27,28,yes
KXLOWTNYC,KNYC,low,2026-02-12,KXLOWTNYC-26FEB12,KXLOWTNYC-26FEB12-B25.5,25° to 26°,25,26,no
KXLOWTNYC,KNYC,low,2026-02-12,KXLOWTNYC-26FEB12,KXLOWTNYC-26FEB12-B23.5,23° to 24°,23,24,no
KXLOWTNYC,KNYC,low,2026-02-12,KXLOWTNYC-26FEB12,KXLOWTNYC-26FEB12-B21.5,21° to 22°,21,22,no
KXLOWTCHI,KORD,low,2026-02-12,KXLOWTCHI-26FEB12,KXLOWTCHI-26FEB12-T27,28° or above,28,,no
KXLOWTCHI,KORD,low,2026-02-12,KXLOWTCHI-26FEB12,KXLOWTCHI-26FEB12-T20,19° or below,,19,no
KXLOWTCHI,KORD,low,2026-02-12,KXLOWTCHI-26FEB12,KXLOWTCHI-26FEB12-B26.5,26° to 27°,26,27,yes
KXLOWTCHI,KORD,low,2026-02-12,KXLOWTCHI-26FEB12,KXLOWTCHI-26FEB12-B24.5,24° to 25°,24,25,no
KXLOWTCHI,KORD,low,2026-02-12,KXLOWTCHI-26FEB12,KXLOWTCHI-26FEB12-B22.5,22° to 23°,22,23,no
KXLOWTCHI,KORD,low,2026-02-12,KXLOWTCHI-26FEB12,KXLOWTCHI-26FEB12-B20.5,20° to 21°,20,21,no
KXLOWTDEN,KDEN,low,2026-02-11,KXLOWTDEN-26FEB11,KXLOWTDEN-26FEB11-T30,31° or above,31,,no
KXLOWTDEN,KDEN,low,2026-02-11,KXLOWTDEN-26FEB11,KXLOWTDEN-26FEB11-T23,22° or below,,22,no
KXLOWTDEN,KDEN,low,2026-02-11,KXLOWTDEN-26FEB11,KXLOWTDEN-26FEB11-B29.5,29° to 30°,29,30,no
KXLOWTDEN,KDEN,low,2026-02-11,KXLOWTDEN-26FEB11,KXLOWTDEN-26FEB11-B27.5,27° to 28°,27,28,no
KXLOWTDEN,KDEN,low,2026-02-11,KXLOWTDEN-26FEB11,KXLOWTDEN-26FEB11-B25.5,25° to 26°,25,26,yes
KXLOWTDEN,KDEN,low,2026-02-11,KXLOWTDEN-26FEB11,KXLOWTDEN-26FEB11-B23.5,23° to 24°,23,24,no
KXLOWTMIA,KMIA,low,2026-02-11,KXLOWTMIA-26FEB11,KXLOWTMIA-26FEB11-T62,63° or above,63,,no
KXLOWTMIA,KMIA,low,2026-02-11,KXLOWTMIA-26FEB11,KXLOWTMIA-26FEB11-T55,54° or below,,54,no
KXLOWTMIA,KMIA,low,2026-02-11,KXLOWTMIA-26FEB11,KXLOWTMIA-26FEB11-B61.5,61° to 62°,61,62,no
KXLOWTMIA,KMIA,low,2026-02-11,KXLOWTMIA-26FEB11,KXLOWTMIA-26FEB11-B59.5,59° to 60°,59,60,yes
KXLOWTMIA,KMIA,low,2026-02-11,KXLOWTMIA-26FEB11,KXLOWTMIA-26FEB11-B57.5,57° to 58°,57,58,no
KXLOWTMIA,KMIA,low,2026-02-11,KXLOWTMIA-26FEB11,KXLOWTMIA-26FEB11-B55.5,55° to 56°,55,56,no
KXLOWTCHI,KORD,low,2026-02-11,KXLOWTCHI-26FEB11,KXLOWTCHI-26FEB11-T28,29° or above,29,,no
KXLOWTCHI,KORD,low,2026-02-11,KXLOWTCHI-26FEB11,KXLOWTCHI-26FEB11-T21,20° or below,,20,no
KXLOWTCHI,KORD,low,2026-02-11,KXLOWTCHI-26FEB11,KXLOWTCHI-26FEB11-B27.5,27° to 28°,27,28,no
KXLOWTCHI,KORD,low,2026-02-11,KXLOWTCHI-26FEB11,KXLOWTCHI-26FEB11-B25.5,25° to 26°,25,26,yes
KXLOWTCHI,KORD,low,2026-02-11,KXLOWTCHI-26FEB11,KXLOWTCHI-26FEB11-B23.5,23° to 24°,23,24,no
KXLOWTCHI,KORD,low,2026-02-11,KXLOWTCHI-26FEB11,KXLOWTCHI-26FEB11-B21.5,21° to 22°,21,22,no
KXHIGHMIA,KMIA,high,2026-02-11,KXHIGHMIA-26FEB11,KXHIGHMIA-26FEB11-T79,80° or above,80,,no
KXHIGHMIA,KMIA,high,2026-02-11,KXHIGHMIA-26FEB11,KXHIGHMIA-26FEB11-T72,71° or below,,71,no
KXHIGHMIA,KMIA,high,2026-02-11,KXHIGHMIA-26FEB11,KXHIGHMIA-26FEB11-B78.5,78° to 79°,78,79,yes
KXHIGHMIA,KMIA,high,2026-02-11,KXHIGHMIA-26FEB11,KXHIGHMIA-26FEB11-B76.5,76° to 77°,76,77,no
