date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,trigger_utc,settled_utc
2026-01-14,high,13,True,18:53,41.0,45.0,17:53,45.0,17:53,2026-01-15T01:53:00+00:00,2026-01-15T00:53:00+00:00
2026-01-15,high,13,True,15:53,57.0,60.0,11:53,60.0,11:53,2026-01-15T22:53:00+00:00,2026-01-15T18:53:00+00:00
2026-01-16,high,13,True,14:53,33.0,36.0,11:53,36.0,11:53,2026-01-16T21:53:00+00:00,2026-01-16T18:53:00+00:00
2026-01-17,high,13,True,16:53,31.0,35.0,14:53,35.0,14:53,2026-01-17T23:53:00+00:00,2026-01-17T21:53:00+00:00
2026-01-18,high,13,True,14:53,47.0,50.0,10:53,50.0,10:53,2026-01-18T21:53:00+00:00,2026-01-18T17:53:00+00:00
2026-01-19,high,13,True,16:53,30.0,37.0,14:53,37.0,14:53,2026-01-19T23:53:00+00:00,2026-01-19T21:53:00+00:00
2026-01-20,high,13,True,14:53,47.0,51.0,11:53,51.0,11:53,2026-01-20T21:53:00+00:00,2026-01-20T18:53:00+00:00
2026-01-21,high,13,True,15:53,45.0,48.0,14:53,48.0,14:53,2026-01-21T22:53:00+00:00,2026-01-21T21:53:00+00:00
2026-01-22,high,13,True,15:53,35.0,37.0,14:53,37.0,14:53,2026-01-22T22:53:00+00:00,2026-01-22T21:53:00+00:00
2026-01-23,high,13,True,14:33,14.0,15.8,12:50,15.8,12:50,2026-01-23T21:33:00+00:00,2026-01-23T19:50:00+00:00
2026-01-24,high,13,True,15:53,13.0,16.0,13:53,16.0,13:53,2026-01-24T22:53:00+00:00,2026-01-24T20:53:00+00:00
2026-01-25,high,13,True,14:38,23.0,26.0,12:53,26.0,12:53,2026-01-25T21:38:00+00:00,2026-01-25T19:53:00+00:00
2026-01-26,high,13,True,16:53,41.0,44.0,13:53,44.0,13:53,2026-01-26T23:53:00+00:00,2026-01-26T20:53:00+00:00
2026-01-27,high,13,True,16:53,43.0,48.0,13:53,48.0,13:53,2026-01-27T23:53:00+00:00,2026-01-27T20:53:00+00:00
2026-01-28,high,13,True,16:53,45.0,51.0,15:53,51.0,15:53,2026-01-28T23:53:00+00:00,2026-01-28T22:53:00+00:00
