date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,trigger_utc,settled_utc
2026-01-15,high,13,False,,,71.6,10:49,71.6,10:49,,2026-01-15T15:49:00+00:00
2026-01-16,high,13,True,16:53,66.0,68.0,14:53,68.0,14:53,2026-01-16T21:53:00+00:00,2026-01-16T19:53:00+00:00
2026-01-17,high,13,True,17:53,74.0,77.0,12:53,77.0,12:53,2026-01-17T22:53:00+00:00,2026-01-17T17:53:00+00:00
2026-01-18,high,13,False,,,81.0,10:53,81.0,10:53,,2026-01-18T15:53:00+00:00
2026-01-19,high,13,True,17:53,64.0,67.0,15:53,67.0,15:53,2026-01-19T22:53:00+00:00,2026-01-19T20:53:00+00:00
2026-01-20,high,13,True,14:53,72.0,74.0,12:53,74.0,12:53,2026-01-20T19:53:00+00:00,2026-01-20T17:53:00+00:00
2026-01-21,high,13,True,20:36,69.0,71.0,16:53,71.0,16:53,2026-01-22T01:36:00+00:00,2026-01-21T21:53:00+00:00
2026-01-22,high,13,True,14:53,72.0,76.0,12:53,76.0,12:53,2026-01-22T19:53:00+00:00,2026-01-22T17:53:00+00:00
2026-01-23,high,13,True,14:53,79.0,82.0,12:53,82.0,12:53,2026-01-23T19:53:00+00:00,2026-01-23T17:53:00+00:00
2026-01-24,high,13,True,15:53,79.0,82.0,13:53,82.0,13:53,2026-01-24T20:53:00+00:00,2026-01-24T18:53:00+00:00
2026-01-25,high,13,True,16:53,80.0,82.0,13:53,82.0,13:53,2026-01-25T21:53:00+00:00,2026-01-25T18:53:00+00:00
2026-01-26,high,13,True,14:53,83.0,86.0,12:53,86.0,12:53,2026-01-26T19:53:00+00:00,2026-01-26T17:53:00+00:00
2026-01-27,high,13,True,17:53,62.0,66.0,13:53,66.0,13:53,2026-01-27T22:53:00+00:00,2026-01-27T18:53:00+00:00
2026-01-28,high,13,True,15:53,61.0,63.0,13:53,63.0,13:53,2026-01-28T20:53:00+00:00,2026-01-28T18:53:00+00:00
2026-01-29,high,13,True,15:53,70.0,72.0,13:53,72.0,13:53,2026-01-29T20:53:00+00:00,2026-01-29T18:53:00+00:00
2026-01-30,high,13,True,16:53,66.0,68.0,15:53,68.0,15:53,2026-01-30T21:53:00+00:00,2026-01-30T20:53:00+00:00
2026-01-31,high,13,False,,,65.0,09:53,65.0,09:53,,2026-01-31T14:53:00+00:00
2026-02-01,high,13,True,18:53,49.0,51.0,15:53,51.0,15:53,2026-02-01T23:53:00+00:00,2026-02-01T20:53:00+00:00
2026-02-02,high,13,True,17:53,55.0,57.0,14:53,57.0,14:53,2026-02-02T22:53:00+00:00,2026-02-02T19:53:00+00:00
2026-02-03,high,13,True,14:53,67.0,69.0,13:53,69.0,13:53,2026-02-03T19:53:00+00:00,2026-02-03T18:53:00+00:00
2026-02-04,high,13,True,17:53,70.0,73.0,12:53,73.0,12:53,2026-02-04T22:53:00+00:00,2026-02-04T17:53:00+00:00
2026-02-05,high,13,False,,,74.0,11:53,74.0,11:53,,2026-02-05T16:53:00+00:00
