date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,trigger_utc,settled_utc
2026-01-15,high,13,True,14:51,35.0,47.0,00:51,47.0,00:51,2026-01-15T19:51:00+00:00,2026-01-15T05:51:00+00:00
2026-01-16,high,13,True,18:51,30.0,32.0,14:51,34.0,22:51,2026-01-16T23:51:00+00:00,2026-01-17T03:51:00+00:00
2026-01-17,high,13,True,14:51,33.0,39.0,08:51,39.0,08:51,2026-01-17T19:51:00+00:00,2026-01-17T13:51:00+00:00
2026-01-18,high,13,False,,,35.0,05:51,35.0,05:51,,2026-01-18T10:51:00+00:00
2026-01-19,high,13,True,21:51,29.0,31.0,12:51,31.0,12:51,2026-01-20T02:51:00+00:00,2026-01-19T17:51:00+00:00
2026-01-20,high,13,False,,,24.0,00:51,24.0,00:51,,2026-01-20T05:51:00+00:00
2026-01-21,high,13,False,,,39.0,23:51,39.0,23:51,,2026-01-22T04:51:00+00:00
2026-01-22,high,13,True,18:51,44.0,47.0,13:51,47.0,13:51,2026-01-22T23:51:00+00:00,2026-01-22T18:51:00+00:00
2026-01-23,high,13,False,,,37.0,00:51,37.0,00:51,,2026-01-23T05:51:00+00:00
2026-01-24,high,13,True,20:51,15.0,17.0,13:51,17.0,13:51,2026-01-25T01:51:00+00:00,2026-01-24T18:51:00+00:00
2026-01-25,high,13,False,,,22.0,22:51,22.0,22:51,,2026-01-26T03:51:00+00:00
2026-01-26,high,13,True,15:51,25.0,27.0,14:51,27.0,14:51,2026-01-26T20:51:00+00:00,2026-01-26T19:51:00+00:00
2026-01-27,high,13,True,15:51,20.0,22.0,13:51,22.0,13:51,2026-01-27T20:51:00+00:00,2026-01-27T18:51:00+00:00
2026-01-28,high,13,True,17:51,21.0,23.0,12:51,23.0,12:51,2026-01-28T22:51:00+00:00,2026-01-28T17:51:00+00:00
2026-01-29,high,13,True,18:51,21.0,23.0,15:51,23.0,15:51,2026-01-29T23:51:00+00:00,2026-01-29T20:51:00+00:00
