prefix,total_markets,distinct_events
KXHIGHTNOLA,78,13
KXHIGHTSFO,78,13
KXHIGHTLV,78,13
KXHIGHTSEA,78,13
KXHIGHDEN,78,13
KXHIGHNY,78,13
KXHIGHMIA,78,13
KXHIGHAUS,78,13
KXHIGHLAX,78,13
KXHIGHPHIL,78,13
KXHIGHCHI,78,13
KXLOWTMIA,78,13
KXLOWTDEN,78,13
KXLOWTAUS,78,13
KXLOWTPHIL,78,13
KXLOWTLAX,78,13
KXLOWTNYC,78,13
KXLOWTCHI,78,13
KXHIGHTDC,60,10
KXHIGHTATL,54,9
KXHIGHTPHX,54,9
KXHIGHTMIN,54,9
KXNHLPTS,54,1
KXHIGHTBOS,48,8
KXNHLAST,36,1
KXNHLFIRSTGOAL,18,1
KXNHLGOAL,18,1
KXRAINNYC,13,13
KXHIGHTHOU,12,2
KXHIGHTOKC,12,2
KXHIGHTDAL,12,2
KXHIGHTSATX,12,2
KXATPCHALLENGERMATCH,2,1
